"Estimate","Std.Error","t.value","p.value","guide_id","coef"
-0.277573352573347,0.556209395823536,-0.499044702692169,0.618084476699124,"504","time:activator100fM"
-0.731445406445409,0.434514983462575,-1.68336060730667,0.0932626112273201,"505","time:activator100fM"
-0.167881192881195,0.345697504975866,-0.485630328436751,0.627555511976656,"506","time:activator100fM"
3.09007936507938,0.478611084238133,6.45634726575181,3.89002176416362e-10,"507","time:activator100fM"
0.0554473304473274,0.557380773902268,0.0994783692647597,0.920819605064611,"508","time:activator100fM"
4.72329244829245,0.668899669985934,7.06128685695385,1.00055843059444e-11,"509","time:activator100fM"
21.9634319384319,1.07431418432254,20.4441421875874,2.29500647619246e-60,"516","time:activator100fM"
15.4853775853776,1.20182661254337,12.8848682694807,5.49099443847783e-31,"517","time:activator100fM"
15.2792328042328,0.493483010339198,30.9620239888918,4.27389451811213e-99,"518","time:activator100fM"
6.491354016354,0.596089372415887,10.8899006034032,9.23499653975109e-24,"519","time:activator100fM"
1.42633477633478,0.678637170409038,2.10176341427789,0.0363409997691976,"520","time:activator100fM"
6.35757575757577,0.271292578133423,23.4343888112158,6.89867409828405e-72,"521","time:activator100fM"
2.19094516594518,0.444119728095439,4.93323090001163,1.29177326466714e-06,"528","time:activator100fM"
9.33597883597882,0.724302984994473,12.8896042531843,5.27213696220346e-31,"529","time:activator100fM"
1.18222703222703,0.460028272832875,2.56990081271924,0.0106166740865461,"530","time:activator100fM"
2.41385281385282,0.342940652931419,7.03868961938305,1.15195128144479e-11,"531","time:activator100fM"
2.60438912938914,0.388461410532845,6.70437026374576,8.92288107625361e-11,"532","time:activator100fM"
10.7215007215007,0.562798812661688,19.0503257652494,6.55353466764858e-55,"533","time:activator100fM"
7.33162578162578,0.667784258420759,10.9790335563829,4.50000067206942e-24,"540","time:activator100fM"
1.72126022126019,0.544317925745528,3.16223320939258,0.00171281660046543,"541","time:activator100fM"
10.4925565175565,0.82891830679891,12.6581310021688,3.82744372159257e-30,"542","time:activator100fM"
2.88775853775855,0.464950532368661,6.210894141893,1.60455128051125e-09,"543","time:activator100fM"
13.5443482443482,0.344423061218563,39.3247426476862,8.6778276590522e-126,"544","time:activator100fM"
1.51020923520923,0.480453992603812,3.14329625407977,0.00182406014880843,"545","time:activator100fM"
9.87335257335258,0.564999884902496,17.4749638666855,1.02098716137897e-48,"552","time:activator100fM"
-0.0668229918230139,0.583657548476259,-0.114490066987855,0.908919800841247,"553","time:activator100fM"
-0.403354978354979,0.35872372150503,-1.12441679814956,0.261663485644599,"554","time:activator100fM"
-1.57414622414623,0.351331599602407,-4.48051420916209,1.0318940549787e-05,"555","time:activator100fM"
0.45942760942762,0.235336394037426,1.95221657621964,0.0517682352250497,"556","time:activator100fM"
3.16131553631554,0.467294187445388,6.76515056521006,6.18242604695207e-11,"557","time:activator100fM"
11.655772005772,0.632492426363718,18.4283186958974,1.82072901688456e-52,"564","time:activator100fM"
1.45140692640691,0.606702950083151,2.3922859221436,0.0173097244306145,"565","time:activator100fM"
3.15215247715247,0.326347991054134,9.65886894836008,1.41511699550048e-19,"566","time:activator100fM"
9.46238576238576,0.576655502124752,16.4090791252672,1.56029604267054e-44,"567","time:activator100fM"
8.9039923039923,0.432304338998504,20.5965832418423,5.84222026232164e-61,"568","time:activator100fM"
9.24246031746032,0.58235730740148,15.8707724621862,1.98782470136709e-42,"569","time:activator100fM"
7.92169312169311,0.651304138938504,12.1628171050838,2.55500089143839e-28,"576","time:activator100fM"
0.324675324675323,0.257578453344336,1.26049100947621,0.208393734675789,"577","time:activator100fM"
0.999879749879757,0.404440019517679,2.47225719915695,0.0139362616745342,"578","time:activator100fM"
-0.191113516113523,0.446871394658366,-0.427670059882956,0.669173714539842,"579","time:activator100fM"
3.95313852813852,0.207816970955518,19.0222122378285,8.44979968349403e-55,"580","time:activator100fM"
7.73998316498318,0.622898088451875,12.4257616269458,2.76675181549646e-29,"581","time:activator100fM"
11.1210197210197,0.906305296177153,12.2707213208715,1.02824792150348e-28,"588","time:activator100fM"
9.59442039442041,0.621936245697914,15.4266943931751,1.06827770151209e-40,"589","time:activator100fM"
18.1035954785955,0.593654014067575,30.4951959383783,1.70362419271623e-97,"590","time:activator100fM"
2.59086099086097,0.629651481252355,4.11475406316497,4.91402195126595e-05,"591","time:activator100fM"
1.33751803751805,0.566979039126204,2.35902554630478,0.0189124624190867,"510","time:activator100fM"
0.878523328523324,0.335278600255352,2.62027856193098,0.00919701205044458,"511","time:activator100fM"
-0.520971620971621,0.527990580888421,-0.986706278159377,0.324518404509914,"512","time:activator100fM"
0.903583453583446,0.334239834929253,2.70339845570682,0.00722327815020066,"513","time:activator100fM"
3.48102453102454,0.479545376599867,7.25900968059818,2.8775730578921e-12,"514","time:activator100fM"
0.88267195767196,0.444730688750665,1.98473363767982,0.0480120622722219,"515","time:activator100fM"
23.1740860990861,1.59675678241333,14.5132222730007,3.65613438305655e-37,"592","time:activator100fM"
8.39800384800384,1.22206756209349,6.87196363646002,3.22588046414795e-11,"593","time:activator100fM"
7.46253006253005,1.25222941086113,5.95939529754233,6.56824597757339e-09,"598","time:activator100fM"
8.21165223665224,1.05552229570795,7.77970514696194,9.67164848795133e-14,"599","time:activator100fM"
0.160401635401639,0.496251095924167,0.323226763062203,0.746730746387106,"522","time:activator100fM"
2.83749398749399,0.349560443887817,8.11732001463132,9.8717377370339e-15,"523","time:activator100fM"
2.21729196729196,0.446994743802457,4.96044304331209,1.13435106666148e-06,"524","time:activator100fM"
